7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0778,0.1968,0.958,0.0202
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0772,0.1897,0.961,-0.0052
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0855,0.2058,0.954,0.0126
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0778,0.1912,0.9604,0.014
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0798,0.1982,0.9574,0.0225
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0791,0.1923,0.9599,-0.003
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0896,0.2129,0.9508,0.0356
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0926,0.2071,0.9535,0.0091
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0821,0.1942,0.9591,-0.0068
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0766,0.1886,0.9614,0.0215
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0812,0.1997,0.9567,0.0222
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0899,0.2116,0.9514,0.0101
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0809,0.196,0.9583,-0.0094
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.074,0.1906,0.9606,0.0082
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0786,0.1946,0.9589,0.0062
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0764,0.1918,0.9601,-0.001
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0775,0.1925,0.9598,0.007
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0774,0.1931,0.9596,0.0101
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0774,0.1938,0.9593,0.0088
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.074,0.1862,0.9624,0.0012
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0798,0.1989,0.9571,0.0031
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0821,0.2052,0.9543,0.0198
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0809,0.2019,0.9558,0.0079
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0842,0.208,0.9531,0.0048
7-First-Solar_pred1_iTransformer_lstm_optuna_Spring,0.0808,0.2019,0.9558,0.0078
