7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.0977,0.2061,0.954,0.001
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.099,0.2195,0.9477,0.0406
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.0918,0.2215,0.9468,0.0208
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.091,0.2051,0.9544,0.0257
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.4077,0.6854,0.4906,-0.3361
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.107,0.2367,0.9392,0.0389
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1198,0.2426,0.9362,0.0509
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1054,0.2182,0.9484,0.023
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1322,0.2424,0.9363,0.0584
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.157,0.2993,0.9028,0.0765
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.0927,0.2037,0.955,0.0214
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1731,0.3303,0.8817,0.0578
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1142,0.2192,0.9479,0.0215
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.0994,0.2041,0.9548,-0.011
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.0932,0.2041,0.9548,0.0213
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1165,0.2369,0.9391,0.0184
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1017,0.2248,0.9452,-0.0035
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1235,0.2315,0.9419,0.0601
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1032,0.2244,0.9454,0.0041
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1128,0.2118,0.9513,0.0351
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1015,0.2078,0.9531,0.0043
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1101,0.2297,0.9428,-0.0137
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1253,0.222,0.9466,0.0099
7-First-Solar_pred1_iTransformer_TCN_parallel_MAE,0.1087,0.2185,0.9482,0.0396
