1B_pred1_TCN,0.1159,0.218,0.9123,0.0216
7-First-Solar_pred1_TCN,0.079,0.1867,0.9622,0.0006
7-First-Solar_pred1_TCN,0.1254,0.2731,0.9191,0.0265
7-First-Solar_pred1_TCN,0.1029,0.2226,0.9462,0.0039
