Timestamp,Active_Energy_Delivered_Received,Current_Phase_Average,Active_Power,Performance_Ratio
"2019-03-01 00:00:00",1264200,0.099999979138374,-0.010000000707805002,-45.72459030151375
"2019-03-01 01:00:00",1264200,0.099999979138374,-0.010000000707805002,-47.17244720458991
"2019-03-01 02:00:00",1264200,0.099999979138374,-0.010000000707805002,-63.35087076822925
"2019-03-01 03:00:00",1264200,0.099999979138374,-0.010000000707805002,-62.072438875834166
"2019-03-01 04:00:00",1264200,0.099999979138374,-0.010000000707805002,-53.427239100138245
"2019-03-01 05:00:00",1264200,0.099999979138374,-0.010000000707805002,-41.03626505533833
"2019-03-01 06:00:00",1264200,0.099999979138374,-0.010000000707805002,-32.850705822308825
"2019-03-01 07:00:00",1264202,0.9243333203097172,0.17356666445266414,14.31015291810044
"2019-03-01 08:00:00",1264215,5.987888932228092,1.431883285442984,51.65686384836834
"2019-03-01 09:00:00",1264242,12.345777432123926,2.983588834603625,65.81990941365558
"2019-03-01 10:00:00",1264286,16.582916816075585,4.03426400820415,66.83217620849608
"2019-03-01 11:00:00",1264339,19.287277062733917,4.710152904192608,66.30981699625659
"2019-03-01 12:00:00",1264398,20.624806245168,5.0524809360504,63.972353617350336
"2019-03-01 13:00:00",1264458,20.31502691904708,4.976536154747008,64.28606096903484
"2019-03-01 14:00:00",1264516,18.836499691009585,4.6287583510080745,67.55559921264641
"2019-03-01 15:00:00",1264566,16.033221642176255,3.9214500983556255,67.98766581217457
"2019-03-01 16:00:00",1264608,11.717499732971214,2.8537777860959417,68.60725466410308
"2019-03-01 17:00:00",1264632,5.622750043869026,1.3510471930106511,54.69701925913491
"2019-03-01 18:00:00",1264644,0.7828889116644842,0.11455554878921283,8.862273963789098
"2019-03-01 19:00:00",1264644,0.099999979138374,-0.010000000707805002,-23.378336310386732
"2019-03-01 20:00:00",1264644,0.099999979138374,-0.010000000707805002,-33.0738412539165
"2019-03-01 21:00:00",1264644,0.099999979138374,-0.010000000707805002,-49.82368850708017
"2019-03-01 22:00:00",1264644,0.099999979138374,-0.010000000707805002,-40.435773531596006
"2019-03-01 23:00:00",1264644,0.099999979138374,-0.010000000707805002,-61.13906510670969
"2019-03-02 00:00:00",1264644,0.099999979138374,-0.010000000707805002,-43.2412989934285
"2019-03-02 01:00:00",1264644,0.099999979138374,-0.010000000707805002,-69.31093660990383
"2019-03-02 02:00:00",1264644,0.099999979138374,-0.010000000707805002,-63.390690803527754
"2019-03-02 03:00:00",1264644,0.099999979138374,-0.010000000707805002,-47.378822644551576
"2019-03-02 04:00:00",1264644,0.099999979138374,-0.010000000707805002,-46.444564819335916
"2019-03-02 05:00:00",1264644,0.099999979138374,-0.010000000707805002,-33.55465571085633
"2019-03-02 06:00:00",1264644,0.099999979138374,-0.010000000707805002,-33.60277752081547
"2019-03-02 07:00:00",1264644,0.9177500096460145,0.16749723131457936,13.485574175914223
"2019-03-02 08:00:00",1264649,6.026833295822141,1.4430166631937125,51.46966965993233
"2019-03-02 09:00:00",1264677,12.360277891159,2.998747209707909,66.11031945546466
"2019-03-02 10:00:00",1264722,16.553277889887582,4.04190001885095,67.6141522725425
"2019-03-02 11:00:00",1264774,19.090944766998334,4.676288763682026,66.39941215515124
"2019-03-02 12:00:00",1264833,20.819165865580167,5.111347119013467,63.68739732106517
"2019-03-02 13:00:00",1264895,20.803833961486834,5.1083666483561245,64.76189645131443
"2019-03-02 14:00:00",1264953,18.669861078262333,4.574127674102792,66.57874933878576
"2019-03-02 15:00:00",1265003,15.56791639328,3.800472299257916,67.20360819498707
"2019-03-02 16:00:00",1265042,11.62680554389951,2.8222082654635,70.28715197245268
"2019-03-02 17:00:00",1265069,5.916361192862193,1.4169111301501591,55.68062527974442
"2019-03-02 18:00:00",1265076,0.8516944994529158,0.11546111002098729,8.652370452880925
"2019-03-02 19:00:00",1265076,0.099999979138374,-0.010000000707805002,-28.5451617240905
"2019-03-02 20:00:00",1265076,0.099999979138374,-0.010000000707805002,-45.097647984822665
"2019-03-02 21:00:00",1265076,0.099999979138374,-0.010000000707805002,-31.275765101114924
"2019-03-02 22:00:00",1265076,0.099999979138374,-0.010000000707805002,-39.97079245249426
"2019-03-02 23:00:00",1265076,0.099999979138374,-0.010000000707805002,-46.1353114446005
"2019-03-03 00:00:00",1265076,0.099999979138374,-0.010000000707805002,-45.979287783304834
"2019-03-03 01:00:00",1265076,0.099999979138374,-0.010000000707805002,-47.88800716400133
"2019-03-03 02:00:00",1265076,0.099999979138374,-0.010000000707805002,-48.85413297017408
"2019-03-03 03:00:00",1265076,0.099999979138374,-0.010000000707805002,-48.95338789621991
"2019-03-03 04:00:00",1265076,0.099999979138374,-0.010000000707805002,-49.14962577819825
"2019-03-03 05:00:00",1265076,0.099999979138374,-0.010000000707805002,-53.20815213521316
"2019-03-03 06:00:00",1265076,0.099999979138374,-0.010000000707805002,-42.821295817693084
"2019-03-03 07:00:00",1265076,0.8645833358168523,0.1574999969452624,11.676846484343251
"2019-03-03 08:00:00",1265084,6.15238895018895,1.4754888365666075,51.11430740356442
"2019-03-03 09:00:00",1265113,12.502277692158833,3.0327805479367504,65.72388267517091
"2019-03-03 10:00:00",1265158,16.693305810292745,4.077411115169525,65.81225744883234
"2019-03-03 11:00:00",1265213,20.242416540781665,4.961847106615709,65.86938985188792
"2019-03-03 12:00:00",1265273,20.1049733956656,4.9356692234675,63.763544400532915
"2019-03-03 13:00:00",1265330,20.30566589037575,4.985999921957633,65.93568611145008
